Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Ambos sexos;81 Servicios a edificios y actividades de jardinería;Salario ordinario;2022;13.374,8
Ambos sexos;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Salario bruto;2022;21.870,74
Ambos sexos;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Pagos extraordinarios;2022;1.691,41
Ambos sexos;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Valoración en especie;2022;181,02
Ambos sexos;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Salario ordinario;2022;19.998,31
Ambos sexos;84 Administración Pública y defensa, Seguridad Social obligatoria;Salario bruto;2022;34.036,02
Ambos sexos;84 Administración Pública y defensa, Seguridad Social obligatoria;Pagos extraordinarios;2022;3.368,87
Ambos sexos;84 Administración Pública y defensa, Seguridad Social obligatoria;Valoración en especie;2022;32,31
Ambos sexos;84 Administración Pública y defensa, Seguridad Social obligatoria;Salario ordinario;2022;30.634,84
Ambos sexos;85 Educación;Salario bruto;2022;29.263,89
Ambos sexos;85 Educación;Pagos extraordinarios;2022;2.148,78
Ambos sexos;85 Educación;Valoración en especie;2022;52,24
Ambos sexos;85 Educación;Salario ordinario;2022;27.062,87
Ambos sexos;86 Actividades sanitarias;Salario bruto;2022;36.631,6
Ambos sexos;86 Actividades sanitarias;Pagos extraordinarios;2022;2.902,77
Ambos sexos;86 Actividades sanitarias;Valoración en especie;2022;20,06
Ambos sexos;86 Actividades sanitarias;Salario ordinario;2022;33.708,77
Ambos sexos;87 Asistencia en establecimientos residenciales;Salario bruto;2022;18.691,61
Ambos sexos;87 Asistencia en establecimientos residenciales;Pagos extraordinarios;2022;1.492,86
Ambos sexos;87 Asistencia en establecimientos residenciales;Valoración en especie;2022;31,23
Ambos sexos;87 Asistencia en establecimientos residenciales;Salario ordinario;2022;17.167,52
Ambos sexos;88 Actividades de servicios sociales sin alojamiento;Salario bruto;2022;17.765,04
Ambos sexos;88 Actividades de servicios sociales sin alojamiento;Pagos extraordinarios;2022;1.417,95
Ambos sexos;88 Actividades de servicios sociales sin alojamiento;Valoración en especie;2022;14,54
Ambos sexos;88 Actividades de servicios sociales sin alojamiento;Salario ordinario;2022;16.332,55
Ambos sexos;90 Actividades de creación, artísticas y espectáculos;Salario bruto;2022;25.660,78
Ambos sexos;90 Actividades de creación, artísticas y espectáculos;Pagos extraordinarios;2022;2.188,26
Ambos sexos;90 Actividades de creación, artísticas y espectáculos;Valoración en especie;2022;42,27
Ambos sexos;90 Actividades de creación, artísticas y espectáculos;Salario ordinario;2022;23.430,25
Ambos sexos;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Salario bruto;2022;25.068,88
Ambos sexos;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Pagos extraordinarios;2022;2.296,59
Ambos sexos;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Valoración en especie;2022;106,11
Ambos sexos;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Salario ordinario;2022;22.666,18
Ambos sexos;92 Actividades de juegos de azar y apuestas;Salario bruto;2022;25.063,46
Ambos sexos;92 Actividades de juegos de azar y apuestas;Pagos extraordinarios;2022;2.785,04
Ambos sexos;92 Actividades de juegos de azar y apuestas;Valoración en especie;2022;55,32
Ambos sexos;92 Actividades de juegos de azar y apuestas;Salario ordinario;2022;22.223,1
Ambos sexos;93 Actividades deportivas, recreativas y de entretenimiento;Salario bruto;2022;16.332,64
Ambos sexos;93 Actividades deportivas, recreativas y de entretenimiento;Pagos extraordinarios;2022;958,33
Ambos sexos;93 Actividades deportivas, recreativas y de entretenimiento;Valoración en especie;2022;37,85
Ambos sexos;93 Actividades deportivas, recreativas y de entretenimiento;Salario ordinario;2022;15.336,46
Ambos sexos;94 Actividades asociativas;Salario bruto;2022;22.678,87
Ambos sexos;94 Actividades asociativas;Pagos extraordinarios;2022;1.885,62
